dept_name_raw,dept_code,dept_name,abbreviation,dept_major_code,class_100,class_200,class_300_400,class_500,class_700,class_800,class_900,total,fiscal_year
ART MUSEUM SUBSIDY,34,Art Museum,,34,0,0,0,2142000,0,0,0,2142000,2024
AUDITING,61,City Controller's Office,,61,10599672,508573,40000,0,0,0,0,11148245,2024
BOARD OF ETHICS,45,Board of Ethics,,45,1152433,52500,7500,0,0,0,0,1212433,2024
BOARD OF REVISION OF TAXES,63,Board of Revision of Taxes,BRT,63,1089023,80681,22727,0,0,0,0,1192431,2024
CITY COMMISSIONERS,73,City Commissioner's Office,City Commissioners,73,11193816,14740101,3183733,0,0,0,0,29117650,2024
CITY COUNCIL,01,City Council,,01,16700583,2521885,528650,100,0,100,100,19751418,2024
CITY TREASURER,40,Office of the City Treasurer,City Treasurer,40,1819025,3251903,43724,0,0,0,0,5114652,2024
CIVIL SERVICE COMMISSION,55,Civil Service Commission,,55,183057,29500,1094,0,0,0,0,213651,2024
COMMERCE,42,Office of the Director of Commerce,Commerce,42,5695211,12246293,26654,505000,0,0,0,18473158,2024
COMMERCE - CONVENTION CENTER SUBSIDY,42-CC,Commerce: Convention Center Subsidy,,42,0,15000000,0,0,0,0,0,15000000,2024
COMMERCE - ECONOMIC STIMULUS,42-ES,Commerce: Economic Stimulus,,42,0,13334550,0,0,0,0,0,13334550,2024
DISTRICT ATTORNEY,69,District Attorney's Office,DAO,69,46912929,3373866,832275,0,0,0,0,51119070,2024
FINANCE,35,Office of the Director of Finance,Finance,35,11795202,4630326,37396,18758000,0,40358957,0,75579881,2024
FINANCE - BUDGET STABILIZATION RESERVE,35-BSR,Finance: Budget Stabilization Reserve,,35,0,0,0,0,0,42317000,0,42317000,2024
FINANCE - COMMUNITY COLLEGE SUBSIDY,35-CC,Finance: Community College Subsidy,,35,0,0,0,51003181,0,0,0,51003181,2024
FINANCE - EMPLOYEE BENEFITS,35-EB,Finance: Employee Benefits,Employee Benefits,35,1659703834,0,0,0,0,0,0,1659703834,2024
FINANCE - HERO AWARDS,35-HA,Finance: Hero Scholarship Awards,,35,0,0,0,50000,0,0,0,50000,2024
FINANCE - INDEMNITIES,35-IN,Finance: Indemnities,,35,0,0,0,49246000,0,0,0,49246000,2024
FINANCE - REFUNDS,35-R,Finance: Refunds,,35,0,0,0,250000,0,0,0,250000,2024
FINANCE - SCHOOL DISTRICT CONTRIBUTION,35-SD,Finance: School District Contribution,,35,0,0,0,282052590,0,0,0,282052590,2024
FINANCE - WITNESS FEES,35-WF,Finance: Witness Fees,,35,0,180094,0,0,0,0,0,180094,2024
FINANCE-DISABILITY-REG #32 PAYROLL,35-R32,Finance: Reg #32,,35,5200000,0,0,0,0,0,0,5200000,2024
FINANCE-RECESSION AND INFLATION RESERVE AND REOPENING,35-RR,Finance: Recession Reserve,,35,0,0,0,0,0,0,54000000,54000000,2024
FIRE,13,Fire Department,Fire,13,365611225,13854729,14142530,0,0,7186300,0,400794784,2024
FIRST JUDICIAL DISTRICT,84,First Judicial District,FJD,84,116833778,9075191,2343461,0,0,0,0,128252430,2024
FLEET SERVICES,25,Office of Fleet Management,Fleet,25,21146675,6430287,27676744,0,0,0,0,55253706,2024
FLEET SERVICES - VEHICLE LEASE/PURCHASE,25-V,Fleet: Vehicle Lease/Purchases,,25,0,0,15359245,0,0,0,0,15359245,2024
FREE LIBRARY,52,The Free Library of Philadelphia,Free Library,52,59172660,4299722,7513098,0,0,0,0,70985480,2024
HUMAN RELATIONS COMMISSION,54,Commission on Human Relations,Human Relations,54,2581469,61901,38031,0,0,0,0,2681401,2024
HUMAN SERVICES,22,Department of Human Services,DHS,22,37396767,174747925,1802170,0,0,0,0,213946862,2024
L&I - BOARD OF BUILDING STANDARDS,29,L&I: Board of Building and Standards,,29,86609,0,0,0,0,0,0,86609,2024
L&I - BOARD OF L&I REVIEW,27,L&I: Board of Review,,27,172107,10436,0,0,0,0,0,182543,2024
LABOR,03,Labor,,03,3447865,497319,21420,0,0,0,0,3966604,2024
